participant,parameter,mean,median,sd,q2.5,q97.5,rhat,ess_bulk,ess_tail
17,lambda,0.16285182372075,0.16299396,0.054455199296792274,0.05779007475,0.27158031325000004,1.0008285566624835,3726.1977898331884,2764.0689345440687
17,delta,1.249363073575,1.2363544499999999,0.18903967171539915,0.9587807307499999,1.6679697,1.0057251374711436,1217.9116343578582,2601.6356704608056
17,eta,0.1331649807380025,0.12853381,0.17048728067020882,-0.19250956449999998,0.47621826024999997,1.001150201606569,2691.4844114538137,2970.656898205753
18,alpha,1.23615395729225,1.21981275,0.39819140997927505,0.47137798175,2.0511752000000003,1.0004798917095938,4640.222451132521,2857.844773851639
18,beta,1.4555355029875001,1.4388299999999998,0.2489522286775888,1.0080929175,1.9895958550000001,1.0004197845077716,4703.904990062411,3621.0168985881414
18,lambda,0.01879568975820918,0.016215745,0.01402392748557149,5.888782065000001e-4,0.05262394940000001,1.0013871356773107,4848.11679339821,2805.7257508564758
18,delta,1.2482313286675,1.24245355,0.21891277624706526,0.80548674275,1.69066479,1.0066223163275267,1886.2684607657227,2142.5085217091037
18,eta,0.10858927196351732,0.0867685295,0.16977421886616945,-0.17183701025,0.4830133705000001,1.0013688195200916,3883.2423095841114,3245.182667327083
19,alpha,5.06248107855,5.13535465,0.6892486816922254,3.635917525,5.9965170325,1.0005846508830685,3223.987215927191,2518.8980335638093
19,beta,0.1925932719456765,0.18831761,0.13932152274277926,-0.07028346904999999,0.4795351265000001,1.001308247949644,5729.04075628314,3035.8925069686074
19,lambda,0.06846519277307513,0.0676291445,0.027586832526866705,0.016770940425000002,0.12549181575000004,1.0002357716609824,4272.133212580218,2010.5718237017552
19,delta,1.231410296425,1.22099155,0.14606511332425492,0.969548155,1.5620841125000005,1.0021248271006695,1571.4947575788356,2097.1127284554764
19,eta,-0.0894076018610655,-0.094498549,0.2354800611000471,-0.5601932005,0.3722267865000001,1.0047017211959177,2587.114078816323,2650.646318609202
20,alpha,2.0350197559475,2.0029998,0.46847217333972785,1.17906027,3.0201743825,1.0008116570503882,4579.791965572796,3312.42868998735
20,beta,0.22536548009924548,0.220808985,0.15218138608219098,-0.058981138775,0.53707634025,1.0011936129028378,5391.221911454732,3243.532311594747
20,lambda,0.1958430502308,0.19546519499999998,0.07731384353796274,0.0494854472,0.35530731225,1.000723127045081,3014.144043272548,2093.4969225039054
20,delta,1.245336968025,1.2408023,0.1725525385013138,0.8858009995,1.606468395,1.0043791935830735,2162.464516821784,1716.5918665531972
20,eta,-0.23727707927390276,-0.23264724,0.2539561082640976,-0.759126907,0.23522695075000002,1.0109997602357477,634.3588214217292,1406.7744686206177
21,alpha,3.091915534075,3.0559249,0.5435371672428179,2.09808977,4.279849385000001,1.0005075287386622,4989.90394168541,3158.492726719772
21,beta,0.479429431374875,0.476020275,0.13611241391620935,0.2221998165,0.7524106317500001,1.0016678511922228,4635.317567025788,2539.230127849408
21,lambda,0.01871997114028867,0.0157351195,0.014810243858235282,6.9371452425e-4,0.05629322112500002,1.0042720085177532,4746.243177049687,3010.945023350207
21,delta,1.275854024205,1.1131601500000001,0.3019152514740249,0.931351897,1.831811645,1.0250067349048066,220.83239234837617,1825.0775687646235
21,eta,0.517837081954475,0.47320099,0.24494557520181492,0.1565912985,1.0746568575000002,1.0203696628964432,412.97897040565215,1942.1440668648647
22,alpha,4.9770568314,5.0125592,0.695221868676724,3.5485278975,5.9958456425,1.0006096801387983,3339.1069719847915,2388.8257570419073
22,beta,-0.212852156498868,-0.21394722500000002,0.14076954597047572,-0.48624608075000003,0.062108162275000066,1.0002809867353535,5393.767147924265,3581.6778170077614
22,lambda,0.04450772883711001,0.041926345500000003,0.026840016796771494,0.0028386395650000004,0.10287421825000001,0.9997524205632173,4598.151292865752,3271.5860680316255
22,delta,1.31454980500225,1.3495427,0.20050548301573642,0.8747288885,1.6342252325000002,1.003232037072598,1572.8638919274488,2803.3766284471544
22,eta,-0.07104474840762226,-0.10595843999999999,0.24121464632001077,-0.463940007,0.48874652125000023,1.0020113114824551,2894.1429427258126,2691.991580875199
23,alpha,5.084026137375,5.16154665,0.6807800886194296,3.6283946325000005,5.9980167125,1.000646763977578,3540.5701930954638,2509.9825911184976
23,beta,0.6208461488215,0.61799846,0.1652309522666193,0.30714206425,0.9603629290000002,1.000054668604345,6257.224768574177,3129.2863401804616
23,lambda,0.02096761636156158,0.0181446725,0.014936178392591919,9.123729510000002e-4,0.055703597225,0.9999027000588916,5193.907036144521,3235.1376559080377
23,delta,1.204897935625,1.2198338,0.11634370909891287,0.9501894685000001,1.3894287225000002,1.0052266184303724,2211.233214638279,3192.5168600413976
23,eta,0.35637551238629,0.314195075,0.25110650645253746,7.068110212500028e-4,0.9528051615,1.0089208569019474,1876.4222684590727,2697.175298413876
24,alpha,4.3291942486,4.269487,0.790666533004547,2.9172262975,5.9250758875,1.0009827560579514,3767.7884812751504,1845.9574030298888
24,beta,0.6547016257275,0.6491456250000001,0.16380155744840968,0.34902076125,0.9936588580000001,1.001386265418308,5743.488929335528,2996.721248961746
24,lambda,0.04978650679389195,0.047582104,0.02842482050995181,0.0033742368725000007,0.11072315350000002,0.9998747970110365,4437.324755887834,2579.6763484931657
24,delta,1.10568724540375,1.1037488500000001,0.20781668543526852,0.6671040135,1.5318035475,1.002523595902662,4541.269820642422,2610.5411553284266
24,eta,-0.234239472291225,-0.23584502499999999,0.08895388648739169,-0.40842757074999997,-0.051922457874999994,1.0013795404843928,4535.563893218516,3378.162842527253
25,alpha,0.5076075391890017,0.496575065,0.23755427234870297,0.0742994663,1.0117909225000001,1.0003765592700253,5002.766262002987,3091.890218611267
25,beta,0.0196258800008116,0.0198014675,0.08681376726355867,-0.14896135124999998,0.18428015825000002,0.9999712707344041,4802.748648590362,3201.271010336209
25,lambda,0.05602445196218046,0.04188902,0.05044514386496068,0.00169844561,0.18829553350000003,0.999808750743523,5232.124233919004,3159.015782633145
25,delta,1.4385469124399999,1.4773283,0.23019939540744833,0.69937675875,1.75089008,1.022468675374733,168.68976763392388,82.2155369124729
25,eta,-0.0358668392843382,-0.016630824500000002,0.3549108376659167,-0.81982621875,0.62504608375,1.011922711356412,553.6617232266608,1077.24357103282
