"ParticipantPrivateID","randomiser_475f","ResponseButtonOrder","Sources","Trials_perBlock_","Blocks","MinimumSamples","MaximumSamples","RT","Stimulus","Response","NoOfStimuli","CorrectResponse","TrialType","TrialIndex","Accuracy","Block","TrialNumber","proba_1","proba_2","proba_3","proba_4","proba_5","proba_6","Sample_Color","Sample_NumColor","Prior_Belief","Awareness","TruePrior","InstructedPrior","Deception","FinalBelief","color_1","color_2","color_3","color_4","color_5","color_6"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7859.59999999404,"blue",0,6,0,"js-scroll-button-response",33,1,1,11,65,55,65,65,55,50,"redredblueblueredred","0  0  1  1  0  0",1,3,1,1,0,3,"red","red","blue","blue","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,11878.1999999881,"blue",0,6,0,"js-scroll-button-response",36,1,1,12,50,55,50,65,55,50,"blueblueredbluebluered","1  1  0  1  1  0",1,3,1,1,0,3,"blue","blue","red","blue","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7648.60000000894,"blue",0,6,0,"js-scroll-button-response",39,1,1,13,65,65,65,65,65,55,"blueredblueblueblueblue","1  0  1  1  1  1",1,3,1,1,0,3,"blue","red","blue","blue","blue","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6813.29999999702,"blue",0,6,0,"js-scroll-button-response",42,1,1,14,50,50,55,50,65,65,"blueredredredblueblue","1  0  0  0  1  1",1,3,1,1,0,3,"blue","red","red","red","blue","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6725.70000000298,"blue",0,6,0,"js-scroll-button-response",45,1,1,15,55,50,65,55,50,65,"redblueblueredredblue","0  1  1  0  0  1",1,3,1,1,0,3,"red","blue","blue","red","red","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,10809.599999994,"blue",1,6,0,"js-scroll-button-response",48,0,1,16,55,55,55,50,65,65,"blueredblueblueredred","1  0  1  1  0  0",1,3,1,1,0,3,"blue","red","blue","blue","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,46791.599999994,"blue",0,6,0,"js-scroll-button-response",51,1,1,17,55,55,55,65,65,50,"blueredblueblueredred","1  0  1  1  0  0",1,3,1,1,0,3,"blue","red","blue","blue","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,10477.8000000119,"blue",1,6,0,"js-scroll-button-response",54,0,1,18,50,65,50,50,65,65,"blueredredredredblue","1  0  0  0  0  1",1,3,1,1,0,3,"blue","red","red","red","red","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,15034.3000000119,"red",1,6,1,"js-scroll-button-response",57,1,1,19,65,50,65,50,65,50,"redblueblueredredred","0  1  1  0  0  0",1,3,1,1,0,3,"red","blue","blue","red","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7635.29999999702,"blue",0,6,0,"js-scroll-button-response",60,1,1,20,55,50,55,50,65,65,"blueredredblueblueblue","1  0  0  1  1  1",1,3,1,1,0,3,"blue","red","red","blue","blue","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,10215.799999997,"red",1,6,1,"js-scroll-button-response",63,1,1,21,50,65,55,65,50,65,"redredblueredredblue","0  0  1  0  0  1",1,3,1,1,0,3,"red","red","blue","red","red","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,13209.299999997,"blue",0,6,0,"js-scroll-button-response",66,1,1,22,65,55,50,55,55,55,"blueblueredredredblue","1  1  0  0  0  1",1,3,1,1,0,3,"blue","blue","red","red","red","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,5864.90000000596,"blue",0,6,0,"js-scroll-button-response",69,1,1,23,50,55,55,55,50,65,"blueblueblueblueredblue","1  1  1  1  0  1",1,3,1,1,0,3,"blue","blue","blue","blue","red","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,15813,"blue",1,6,0,"js-scroll-button-response",72,0,1,24,55,55,50,50,55,50,"redblueredblueredred","0  1  0  1  0  0",1,3,1,1,0,3,"red","blue","red","blue","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6609.5,"blue",0,6,0,"js-scroll-button-response",75,1,1,25,50,55,55,65,55,50,"blueblueredbluebluered","1  1  0  1  1  0",1,3,1,1,0,3,"blue","blue","red","blue","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,12228.5,"blue",0,6,0,"js-scroll-button-response",78,1,1,26,50,50,55,50,50,65,"redredblueredblueblue","0  0  1  0  1  1",1,3,1,1,0,3,"red","red","blue","red","blue","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,26857.400000006,"red",0,6,1,"js-scroll-button-response",81,0,1,27,65,65,65,55,65,55,"blueblueredredredblue","1  1  0  0  0  1",1,3,1,1,0,3,"blue","blue","red","red","red","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,9816.09999999404,"blue",1,6,0,"js-scroll-button-response",84,0,1,28,65,65,55,65,55,50,"redredblueredredblue","0  0  1  0  0  1",1,3,1,1,0,3,"red","red","blue","red","red","blue"
